kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache	null	localCacheView	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache	null
PARAMETER	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsyncBulkCompleter	accept(java.util.Map,java.lang.Throwable)	result	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	PASS_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache	getAllBulk(java.lang.Iterable)
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$LoadingCacheView	null	asMapView	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	FIELD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$LoadingCacheView	null
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	null	values	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	null
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	null	entries	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	null
PARAMETER	com.github.benmanes.caffeine.cache.Async	getWhenSuccessful(java.util.concurrent.CompletableFuture)	future	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Async.java	PASS_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	remove(java.lang.Object,java.lang.Object)
PARAMETER	com.github.benmanes.caffeine.cache.Async	getWhenSuccessful(java.util.concurrent.CompletableFuture)	future	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Async.java	PASS_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	computeIfPresent(K,java.util.function.BiFunction)
METHOD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	computeIfPresent(K,java.util.function.BiFunction)	null	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	RETURN_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	computeIfPresent(K,java.util.function.BiFunction)
PARAMETER	com.github.benmanes.caffeine.cache.Async	getWhenSuccessful(java.util.concurrent.CompletableFuture)	future	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Async.java	PASS_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	compute(K,java.util.function.BiFunction)
PARAMETER	com.github.benmanes.caffeine.cache.Async	getWhenSuccessful(java.util.concurrent.CompletableFuture)	future	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/Async.java	PASS_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView	merge(K,V,java.util.function.BiFunction)
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	null	cursor	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	FIELD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	null
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	null	removalKey	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	FIELD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	null
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	null	cursor	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	next()
FIELD	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	null	removalKey	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/src/main/java/com/github/benmanes/caffeine/cache/LocalAsyncLoadingCache.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.LocalAsyncLoadingCache$AsMapView$EntrySet$1	remove()
